Index,Section,Commodity,value
1,I,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",60394.39
3,I,MEAT AND EDIBLE MEAT OFFAL.,43611.13
0,I,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",4802.92
4,I,"PRODUCTS OF ANIMAL ORIGIN, NOT ELSEWHERE SPECIFIED OR INCLUDED.",1515.68
2,I,LIVE ANIMALS.,368.06
5,II,CEREALS.,97642.07
6,II,"COFFEE, TEA, MATE AND SPICES.",37420.43
11,II,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",21013.72
9,II,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",19533.83
7,II,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,18469.68
8,II,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,14529.47
12,II,PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN.,3592.08
10,II,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,943.46
13,II,VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED.,691.91
14,III,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,13119.69
22,IV,SUGARS AND SUGAR CONFECTIONERY.,23886.4
21,IV,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,23019.35
23,IV,TOBACCO AND MANUFACTURED TOBACCO SUBSTITUTES.,11164.18
17,IV,MISCELLANEOUS EDIBLE PREPARATIONS.,8009.49
20,IV,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",6224.29
18,IV,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS PRODUCTS.",5905.18
19,IV,"PREPARATIONS OF MEAT, OF FISH OR OF CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",4042.3
15,IV,"BEVERAGES, SPIRITS AND VINEGAR.",3879.29
16,IV,COCOA AND COCOA PREPARATIONS.,1560.07
26,IX,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,4756.61
25,IX,"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",263.74
24,IX,CORK AND ARTICLES OF CORK.,34.28
27,TOTAL,MISCELLANEOUS GOODS.,34189.84
28,TOTAL,PROJECT GOODS; SOME SPECIAL USES.,842.5
29,V,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",573781.24
30,V,"ORES, SLAG AND ASH.",34482.21
31,V,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",23513.01
38,VI,ORGANIC CHEMICALS,170491.42
39,VI,PHARMACEUTICAL PRODUCTS,156859.86
37,VI,MISCELLANEOUS CHEMICAL PRODUCTS.,45783.89
42,VI,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",32843.13
36,VI,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",20149.88
33,VI,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",20045.67
41,VI,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",6752.65
32,VI,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,3224.26
34,VI,EXPLOSIVES; PYROTECHNIC PRODUCTS; MATCHES; PYROPHORIC ALLOYS; CERTAIN COMBUSTIBLE PREPARATIONS.,1225.15
35,VI,FERTILISERS.,1127.31
40,VI,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,228.55
43,VII,PLASTIC AND ARTICLES THEREOF.,72896.4
44,VII,RUBBER AND ARTICLES THEREOF.,34790.11
45,VIII,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",27098.57
47,VIII,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,10489.68
46,VIII,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",97.5
48,X,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",17718.35
49,X,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",3698.95
50,X,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,59.18
52,XI,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",96902.61
54,XI,COTTON.,94126.62
51,XI,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",84336.04
59,XI,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,56746
57,XI,MAN-MADE FILAMENTS.,26982.1
58,XI,MAN-MADE STAPLE FIBRES.,23435.21
53,XI,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,20200.93
